Alpha_deg,H_direct_mm,X_profile_mm,Y_ground_mm
0.0,278.0,0.0,0.0
0.1402805611222445,284.41413619489344,0.46079844855857505,-1.7242195757063996
0.280561122244489,290.8271249668823,0.937299599847689,-3.447291728508219
0.42084168336673344,297.2389278736116,1.42950059750386,-5.169178016050523
0.561122244488978,303.6495064798347,1.9373984910516069,-6.88984000308659
0.7014028056112225,310.0588223576441,2.460990235921473,-8.609239261708922
0.8416833667334669,316.4668370867016,3.0002726934674597,-10.327337371579404
0.9819639278557114,322.8735122544689,3.555242630986799,-12.044095920159691
1.122244488977956,329.2788094564373,4.125896721738551,-13.759476502941027
1.2625250501002003,335.6826902963584,4.712231544963947,-15.473440723675083
1.402805611222445,342.0851163864741,5.314243585907326,-17.185950194603777
1.5430861723446894,348.48604934774687,5.931929235835593,-18.896966536689547
1.6833667334669338,354.8854508100895,6.565284792062068,-20.60645137984511
1.8236472945891784,361.28328241259527,7.21430645796682,-22.314366363163856
1.9639278557114228,367.67950580376805,7.878990343020499,-24.02067313514965
2.1042084168336674,374.0740826417519,8.559332462807593,-25.725333353946382
2.244488977955912,380.4669745945612,9.255328739049084,-27.428308687568688
2.3847695390781563,386.85814334031005,9.96697499962919,-29.129560814130514
2.5250501002004007,393.24755056744266,10.694266978618035,-30.829051422076077
2.6653306613226455,399.6351579749622,11.437200316298664,-32.526742210408656
2.80561122244489,406.02092727266086,12.195770559192614,-34.222594888920185
2.9458917835671343,412.4048201813495,12.969973160086653,-35.91657117842186
3.0861723446893787,418.7867984330866,13.759803478060077,-37.60863281097187
3.226452905811623,425.1668237714081,14.565256778513193,-39.29874153010638
3.3667334669338675,431.54485795155665,15.386328233194632,-40.98685909106791
3.5070140280561124,437.9208627407108,16.223012920230087,-42.672947261035006
3.647294589178357,444.2947999182139,17.075305824153993,-44.3569678193511
3.787575150300601,450.6666312758039,17.943201835936534,-46.03888255775411
3.9278557114228456,457.0363186178418,18.826695753016757,-47.71865328060494
4.0681362725450905,463.4038237615408,19.725782279332496,-49.396241805116915
4.208416833667335,469.76910853719517,20.640456025352577,-51.071609961584215
4.348697394789579,476.1321347884091,21.570711508108808,-52.74471959361108
4.488977955911824,482.49286437232536,22.516543151229044,-54.415532558340374
4.629258517034068,488.8512591598542,23.477945284970602,-56.084010726682095
4.7695390781563125,495.2072810359012,24.454912146254507,-57.750115983542116
4.909819639278557,501.56089189959675,25.44743787869918,-59.41381022805069
5.050100200400801,507.91205366452374,26.45551653265703,-61.07505537379063
5.190380761523046,514.2607282589461,27.479142065248098,-62.73381334902592
5.330661322645291,520.6068776260369,28.518308340398114,-64.39004609692967
5.470941883767535,526.9504637241064,29.57300912887475,-66.04371557581214
5.61122244488978,533.2914485268309,30.643238108324233,-67.6947837593496
5.751503006012024,539.6297940234793,31.72898886330989,-69.34321263681102
5.891783567134269,545.9654622191422,32.8302548853508,-70.98896421328686
6.032064128256513,552.2984151349588,33.947029572960325,-72.63200050991645
6.1723446893787575,558.6286148083452,35.079306231685955,-74.27228356411581
6.312625250501002,564.9560232932214,36.22707807414925,-75.909775429805
6.452905811623246,571.2806026602393,37.390338220086804,-77.54443817763593
6.593186372745491,577.6023149970099,38.56907969639086,-79.17623389521941
6.733466933867735,583.9211224083299,39.763295437151896,-80.80512468735242
6.87374749498998,590.2369870164102,40.97297828370109,-82.43107267624566
7.014028056112225,596.5498709611015,42.198120984652235,-84.05404000174997
7.154308617234469,602.8597364001225,43.43871619594536,-85.67398882158386
7.294589178356714,609.1665455092859,44.694756480892465,-87.29088131156027
7.434869739478958,615.4702604827254,45.96623431021936,-88.90467966581275
7.575150300601202,621.7708435331225,47.253142062113156,-90.51534609702287
7.715430861723447,628.0682568919327,48.55547202226661,-92.1228428366461
7.855711422845691,634.3624628096125,49.87321638392492,-93.72713213513873
7.995991983967936,640.6534235558443,51.20636724793252,-95.32817626218343
8.136272545090181,646.9411014197647,52.554916622780496,-96.92593750691685
8.276553106212425,653.2254587101884,53.918856424653384,-98.52037817815358
8.41683366733467,659.5064577558359,55.29817847747946,-100.11146060461397
8.557114228456914,665.7840609055578,56.69287451297817,-101.6991471351489
8.697394789579159,672.0582305285618,58.10293617071116,-103.28340013896582
8.837675350701403,678.3289290146377,59.52835499813099,-104.86418200585467
8.977955911823647,684.5961187743823,60.969122450632376,-106.4414551464123
9.118236472945892,690.859762239426,62.42522989160348,-108.01518199226894
9.258517034068136,697.1198218626567,63.896668592478065,-109.58532499631258
9.39879759519038,703.376260118446,65.38342973278678,-111.15184663291484
9.539078156312625,709.6290395028732,66.88550440021132,-112.71470939815504
9.67935871743487,715.8781225339507,68.40288359063626,-114.27387581004552
