Alpha_deg,H_flat_mm,H_profile_opt_mm,X_profile_opt_mm,Y_ground_opt_mm,Alpha_inverse_opt
0.0,247.5,247.5,0.0,0.0,7.951386703658792e-16
0.18036072144288579,255.77801629874534,255.77801629874534,0.5953889871528124,0.0,0.18036072144288634
0.36072144288577157,264.05411736824954,264.05411736824954,1.2168332530913006,0.0,0.3607214428857727
0.5410821643286574,272.3282211990266,272.3282211990266,1.864326639803621,0.0,0.5410821643286574
0.7214428857715431,280.60024580138156,280.60024580138156,2.5378627311531474,0.0,0.7214428857715429
0.9018036072144289,288.870109206223,288.870109206223,3.2374348529400345,0.0,0.9018036072144301
1.0821643286573148,297.137729465875,297.137729465875,3.963036072968908,0.0,1.0821643286573157
1.2625250501002006,305.4030246548897,305.4030246548897,4.714659201117137,0.0,1.2625250501002019
1.4428857715430863,313.6659128708585,313.6659128708585,5.492296789405733,0.0,1.4428857715430867
1.623246492985972,321.92631223522426,321.92631223522426,6.295941132073455,0.0,1.6232464929859722
1.8036072144288577,330.1841408940922,330.1841408940922,7.125584265652959,0.0,1.8036072144288586
1.9839679358717437,338.43931701904114,338.43931701904114,7.981217969050147,0.0,1.9839679358717441
2.1643286573146296,346.69175880793443,346.69175880793443,8.862833763625272,0.0,2.1643286573146305
2.3446893787575154,354.94138448573045,354.94138448573045,9.770422913276654,0.0,2.3446893787575167
2.525050100200401,363.188112305293,363.188112305293,10.703976424527914,0.0,2.5250501002004024
2.705410821643287,371.43186054820126,371.43186054820126,11.663485046617215,0.0,2.7054108216432886
2.8857715430861726,379.6725475255596,379.6725475255596,12.648939271587398,0.0,2.8857715430861726
3.0661322645290583,387.9100915788073,387.9100915788073,13.660329334382528,0.0,3.0661322645290596
3.246492985971944,396.1444110805271,396.1444110805271,14.69764521294237,0.0,3.2464929859719462
3.4268537074148298,404.37542443525473,404.37542443525473,15.760876628303883,0.0,3.4268537074148315
3.6072144288577155,412.60305008028706,412.60305008028706,16.850013044700958,0.0,3.6072144288577173
3.7875751503006017,420.8272064864905,420.8272064864905,17.96504366967026,0.0,3.7875751503006025
3.9679358717434874,429.04781215910873,429.04781215910873,19.105957454157615,0.0,3.9679358717434883
4.148296593186373,437.2647856385703,437.2647856385703,20.272743092627998,0.0,4.148296593186374
4.328657314629259,445.4780455012961,445.4780455012961,21.465389023176535,0.0,4.328657314629259
4.509018036072145,453.68751036050566,453.68751036050566,22.683883427644552,0.0,4.509018036072145
4.689378757515031,461.89309886702415,461.89309886702415,23.928214231734714,0.0,4.689378757515032
4.869739478957916,470.09472971008813,470.09472971008813,25.198369105132834,0.0,4.869739478957914
5.050100200400802,478.2923216181516,478.2923216181516,26.494335461628566,0.0,5.050100200400803
5.2304609218436875,486.485793359691,486.485793359691,27.816100459240378,0.0,5.23046092184369
5.410821643286574,494.67506374401023,494.67506374401023,29.16365100034409,0.0,5.410821643286574
