X_local_mm,Y_height_mm,Z_mm
0.0,0.0,0.0
2.299878542807619,0.0010085387266371981,0.0
4.599966470476829,0.0040342775919270935,0.0
6.900262013743941,0.009077399462057656,0.0
9.200763403183828,0.016138085649799905,0.0
11.501468869213113,0.02521651591587215,0.0
13.802376642089712,0.03631286847121373,0.0
16.103484951919654,0.0494273199710733,0.0
18.404792028652082,0.06456004552092054,0.0
20.706296102082433,0.08171121867280817,0.0
23.007995401856988,0.10088101142628147,0.0
25.30988815747014,0.12206959422928776,0.0
27.611972598270313,0.14527713597408365,0.0
29.91424695345313,0.1705038040031468,0.0
32.216709452073246,0.19774976410280942,0.0
34.51935832303843,0.22701518050871528,0.0
36.82219179511367,0.25830021590127217,0.0
39.12520809692114,0.2916050314088352,0.0
41.42840545694162,0.32692978660452354,0.0
43.731782103521255,0.36427463950940364,0.0
46.03533626486069,0.4036397465883965,0.0
48.33906616903141,0.44502526275528,0.0
50.6429700439644,0.4884313413676864,0.0
52.947046117461014,0.533858134228467,0.0
55.251292617186664,0.5813057915888749,0.0
57.555707770676236,0.6307744621431084,0.0
59.8602898053382,0.6822642930314942,0.0
62.16503694844823,0.7357754298395776,0.0
64.46994742715742,0.7913080165985775,0.0
66.77501946849088,0.8488621957853866,0.0
69.08025129935004,0.9084381083193875,0.0
71.38564114651035,0.9700358935674558,0.0
73.69118723663087,1.033655689338957,0.0
75.99688779624694,1.0992976318907495,0.0
78.30274105177341,1.1669618559208175,0.0
80.60874522951326,1.2366484945746379,0.0
82.91489855564805,1.3083576794392684,0.0
85.22119925624884,1.3820895405488045,0.0
87.5276455572689,1.457844206379832,0.0
89.83423568455328,1.5356218038523366,0.0
92.14096786383516,1.6154224583315226,0.0
94.44784032073585,1.6972462936259944,0.0
96.75485128077389,1.7810934319882108,0.0
99.06199896935641,1.8669639941140304,0.0
101.36928161179094,1.9548580991427116,0.0
103.67669743327315,2.0447758646578222,0.0
105.98424465890503,2.136717406684511,0.0
108.29192151367943,2.2306828396940546,0.0
110.59972622249734,2.3266722765979466,0.0
112.90765701015471,2.4246858287528994,0.0
115.2157121013538,2.524723605957206,0.0
117.52388972070185,2.626785716453469,0.0
119.83218809270875,2.7308722669254166,0.0
122.14060544179529,2.836983362501087,0.0
124.4491399922872,2.945119106751008,0.0
126.75778996842428,3.0552796016863795,0.0
129.06655359435217,3.1674649477654384,0.0
131.37542909413287,3.281675243883001,0.0
133.6844146917433,3.3979105873809203,0.0
135.99350861107087,3.5161710740408125,0.0
138.3027090759242,3.6364567980876927,0.0
140.61201431002837,3.758767852188157,0.0
142.92142253702832,3.8831043274503827,0.0
145.23093198048673,4.0094663134273105,0.0
147.54054086389397,4.1378538981098245,0.0
149.85024741066036,4.268267167934027,0.0
152.16004984411984,4.400706207774874,0.0
154.46994638753586,4.535171100952084,0.0
156.77993526409773,4.671661929224683,0.0
159.0900146969252,4.8101787727955525,0.0
161.40018290906437,4.950721710306425,0.0
163.710438123499,5.093290818841524,0.0
166.0207785631419,5.237886173928928,0.0
168.33120245083956,5.384507849534657,0.0
170.64170800937745,5.533155918067223,0.0
172.95229346147607,5.683830450377627,0.0
175.26295702979678,5.836531515757088,0.0
